display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity,first_exposed_unix_time,last_spend_unix_time
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 24859759182984 }",inactive,5085,546288,770774,None,Binance,1539867558,1673072134
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,"{ ""P2SH"" : 18527491912571 }",active,189,549926,959826,None,Binance,1542118262,1785150592
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,"{ ""P2WPKH"" : 14084998537716 }",active,50,788818,948042,,Robinhood,1683571340,1777993363
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"{ ""P2WSH"" : 13001007901344 }",inactive,47,590368,899592,3-of-5 multisig,Bitfinex,1565949629,1748919979
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,"{ ""P2WSH"" : 9693240680310 }",active,4,756361,957824,3-of-5 multisig,Tether,1664538639,1783931898
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"{ ""P2WSH"" : 9185011548300 }",active,2,704522,960088,3-of-5 multisig,Bitfinex,1633955955,1785316673
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,"{ ""P2PKH"" : 7346969274655 }",active,2047,761374,960261,,Upbit,1667371537,1785419459
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,"{ ""P2SH"" : 6820000688924 }",inactive,114,581111,763655,None,Binance,1560772361,1668742580
bc1q0ymzksy046tv4z88ts5nmu7s574umnwmdev3rt,"{ ""P2WPKH"" : 6265750674197 }",active,49,910923,911024,,Kraken,1755714589,1755779607
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,"{ ""P2SH"" : 5590467077961 }",active,296,767604,944213,None,Gemini,1671155337,1775667564
bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,"{ ""P2WPKH"" : 4822500017170 }",active,7,916023,957054,,Deribit,1758627532,1783436985
bc1q0j55cut9nd2c88tnnsfultdx696c8lt6n4n0su,"{ ""P2WPKH"" : 4443054686986 }",active,54,939345,959980,,unidentified,1772679247,1785248465
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,"{ ""P2WSH"" : 4255784225498 }",active,111,828493,960957,2-of-2 multisig,Coincheck,1706846746,1785813989
bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,"{ ""P2WSH"" : 3819436828479 }",active,50,850077,947230,3-of-6 multisig,Bybit,1719730779,1777516092
bc1qy3uw2kk45uj9vsy52rjfhydm2tnd6hreu8vha3,"{ ""P2WPKH"" : 3748418212745 }",active,30,910787,933108,,Kraken,1755631257,1768925586
bc1qeh5e4ndkrs9sxw8wed2yce69tkrg7t003rz4vk5jhkaf6knkem4q944qvt,"{ ""P2WSH"" : 3308653510118 }",active,17,960498,960772,3-of-5 multisig,,1785553510,1785704970
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,"{ ""P2WPKH"" : 3164340210231 }",inactive,4820,630028,639966,,Binance Pool,1589245063,1595213609
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100007642708 }",inactive,260,55632,70071,,unidentified,1273738958,1280014523
bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,"{ ""P2WSH"" : 3080000010644 }",active,18,877255,908911,3-of-5 multisig,Bitfinex,1735686730,1754515954
bc1qukw69mjxwp30adfqddv6gcyva26laxz562rhlk,"{ ""P2WPKH"" : 3046660299896 }",active,24,910924,946309,,Kraken,1755715762,1776952572
3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU,"{ ""P2SH"" : 3019539781366 }",active,3229,871495,960982,None,Bithumb,1732281641,1785830497
bc1q6h2v33qt0jjvpr2hxxtwhtvdvtn086g0n2qu06,"{ ""P2WPKH"" : 2820323804490 }",active,13,922343,960366,,Bitcoin Group SE,1762358087,1785485939
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,"{ ""P2SH"" : 2698353377604 }",active,27,561082,959006,4-of-8 multisig,Boerse Stuttgart Digital,1549035993,1784639033
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,"{ ""P2SH"" : 2606238494937 }",active,50,820136,931290,None,unidentified,1701953241,1767801834
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,"{ ""P2PKH"" : 2359950832823 }",active,91,741078,937194,,unidentified,1655408553,1771400541
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,"{ ""P2WPKH"" : 2323909946918 }",active,2585,725859,960958,,Crypto.com,1646387452,1785814568
bc1qs4z2d3h5je080f74tax92dwg08sf3hylj9vfg3,"{ ""P2WPKH"" : 2133353737254 }",active,3,933407,960258,,Revolut,1769110170,1785415534
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,"{ ""P2WSH"" : 2025745414452 }",active,65,745992,960983,2-of-2 multisig,Bitbank,1658472975,1785831540
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,"{ ""P2PKH"" : 2000800352342 }",inactive,130,459340,459341,,unidentified,1490709559,1490709895
bc1q72nyp6mzxjxm02j7t85pg0pq24684zdj2wuweu,"{ ""P2WPKH"" : 1851993820946 }",active,2,877104,958319,,Purpose Investments,1735593578,1784232752
bc1p6mv2d3rpfhatkv77r6huuurgqyyklxpsnw3090k2qjwqtd6cwkcqzsruxt,"{ ""P2TR"" : 1780000000330 }",active,51,940788,960131,,Babylon,1773588149,1785347602
bc1qlt5nm3kflne7rht4alsnzdzad878ld5rcu4na0,"{ ""P2WPKH"" : 1602695232100 }",active,15000,865542,960881,,Crypto.com,1728874019,1785772117
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,"{ ""P2PKH"" : 1574556036436 }",inactive,121,505553,505587,,unidentified,1516640759,1516659244
3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3,"{ ""P2SH"" : 1537880472671 }",active,128,824506,955401,None,VanEck,1704478197,1782423841
1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD,"{ ""P2PKH"" : 1500000146545 }",inactive,22,720872,839717,,Binance,1643450370,1713410760
1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,"{ ""P2PKH"" : 1483858308293 }",active,132,822203,959942,,Binance,1703142175,1785223042
bc1p4zxtwg3rhr5jqkzuvf0q03m2a69clydghqqz6arhldxln7ew0guq840aqm,"{ ""P2TR"" : 1440000000330 }",active,49,940783,960316,,Babylon,1773585745,1785446786
1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8,"{ ""P2PKH"" : 1422754931701 }",active,190,771695,955294,,Upbit,1673588396,1782370508
36X44rmLtk218sXACZ3gFpNMFENi6dQ2n3,"{ ""P2SH"" : 1418047542149 }",active,87,942945,943078,None,unidentified,1774884267,1774970566
3KZbyboy2MKfQjDKKf2R4UdVbUKgYvso22,"{ ""P2SH"" : 1358890241100 }",active,1,940897,945506,None,Bitfinex,1773667106,1776450575
